Generation,Time_seconds,Best_cost,Mean_cost,Holding_cost,Order_cost,Shortage_cost,Penalty_cost,Method
0,0,65509178980,1.23E+12,0,0,0,0,HGA-VNS
1,0.0735756,30799820653,1.37E+11,131085041.8,63189037.63,1964612,30603581961,HGA-VNS
2,0.0986619,4357556243,93730344979,124290941.8,63189037.63,2500114,4167576149,HGA-VNS
3,0.1248679,4356888775,37128899523,123084287.8,63189037.63,3039300,4167576149,HGA-VNS
4,0.1506504,188167229.5,1.03E+11,121200927.8,63189037.63,3777264,0,HGA-VNS
5,0.1745609,185105024.5,29806616004,117408492.8,63189037.63,4507494,0,HGA-VNS
6,0.2080649,184685253.5,86482409529,116570655.8,63189037.63,4925560,0,HGA-VNS
7,0.2363675,180146097.5,45339131382,111307551.8,63189037.63,5649508,0,HGA-VNS
8,0.267243,179948396.5,42422871206,111032066.8,63189037.63,5727292,0,HGA-VNS
9,0.3049399,178647276.5,59738580161,108175266.8,63189037.63,7282972,0,HGA-VNS
10,0.3455025,176049748.5,88109505294,101679960.8,63189037.63,11180750,0,HGA-VNS
11,0.3810732,175816396.5,15432254397,101096580.8,63189037.63,11530778,0,HGA-VNS
12,0.4144484,175816396.5,63332882508,101096580.8,63189037.63,11530778,0,HGA-VNS
13,0.4435801,175735194.5,77312068092,100893564.8,63189037.63,11652592,0,HGA-VNS
14,0.4726454,175383120.5,57139320204,100013378.8,63189037.63,12180704,0,HGA-VNS
15,0.5082012,174878977.3,56615289736,100447720.5,63239486.4,11191770.47,0,HGA-VNS
16,0.5400912,174878977.3,63829118733,100447720.5,63239486.4,11191770.47,0,HGA-VNS
17,0.5698233,174878977.3,94684683834,100447720.5,63239486.4,11191770.47,0,HGA-VNS
18,0.6026742,174878977.3,1.02E+11,100447720.5,63239486.4,11191770.47,0,HGA-VNS
19,0.6409478,174870045.3,59540336523,100400816.9,63239486.4,11229741.98,0,HGA-VNS
20,0.6885716,174870045.3,42392200290,100400816.9,63239486.4,11229741.98,0,HGA-VNS
21,0.7254013,174870045.3,82545428870,100400816.9,63239486.4,11229741.98,0,HGA-VNS
22,0.7682828,174862663.3,1.04E+11,100382360.9,63239486.4,11240815.98,0,HGA-VNS
23,0.8031814,174862663.3,42850324560,100382360.9,63239486.4,11240815.98,0,HGA-VNS
24,0.8372132,174862663.3,66961064381,100382360.9,63239486.4,11240815.98,0,HGA-VNS
25,0.8766808,174862138.3,37396094166,100381048.5,63239486.4,11241603.47,0,HGA-VNS
26,0.9181753,174862138.3,36750214180,100381048.5,63239486.4,11241603.47,0,HGA-VNS
27,0.9700196,174862138.3,68235517782,100381048.5,63239486.4,11241603.47,0,HGA-VNS
28,1.0160447,174862138.3,40673802816,100381048.5,63239486.4,11241603.47,0,HGA-VNS
29,1.0546933,174862138.3,57188375548,100381048.5,63239486.4,11241603.47,0,HGA-VNS
30,1.0944923,174862138.3,42656320844,100381048.5,63239486.4,11241603.47,0,HGA-VNS
31,1.1286553,174862138.3,76474513062,100381048.5,63239486.4,11241603.47,0,HGA-VNS
32,1.1619069,174862138.3,26979369635,100381048.5,63239486.4,11241603.47,0,HGA-VNS
33,1.1951888,174862138.3,62738950664,100381048.5,63239486.4,11241603.47,0,HGA-VNS
