param,value,total,holding,ordering,shortage,order_miss_penalty,sum_Q,sum_SS,sum_ROP,convergence_sec,pop,gens,kmax,ls_max_iters,seed,svc,lt_fac,bfac,logc,delta_total,delta_holding,delta_ordering,delta_shortage,delta_order_miss_penalty,delta_sum_Q,delta_sum_SS,delta_sum_ROP,Method
service_level,0.8,"174,794,093.47","100,536,980.84","63,189,037.63","11,068,075.00",0.00,2529,16867,44156.33611,66.916614,120,300,2,5,123,0.8416,1,1,1,0,0,0,0,0,0,0,0,GA
service_level,0.82,"174,794,093.47","100,536,980.84","63,189,037.63","11,068,075.00",0.00,2529,16867,44156.33611,46.2798567,120,300,2,5,123,0.919,1,1,1,0,0,0,0,0,0,0,0,GA
service_level,0.85,"174,794,093.47","100,536,980.84","63,189,037.63","11,068,075.00",0.00,2529,16867,44156.33611,50.5444087,120,300,2,5,123,1.0364,1,1,1,0,0,0,0,0,0,0,0,GA
service_level,0.88,"174,794,093.47","100,536,980.84","63,189,037.63","11,068,075.00",0.00,2529,16867,44156.33611,54.6191283,120,300,2,5,123,1.175,1,1,1,0,0,0,0,0,0,0,0,GA
service_level,0.9,"174,794,093.47","100,536,980.84","63,189,037.63","11,068,075.00",0.00,2529,16867,44156.33611,53.4898477,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,GA
service_level,0.92,"174,794,093.47","100,536,980.84","63,189,037.63","11,068,075.00",0.00,2529,16867,44156.33611,33.3801765,120,300,2,5,123,1.4051,1,1,1,0,0,0,0,0,0,0,0,GA
service_level,0.95,"174,794,093.47","100,536,980.84","63,189,037.63","11,068,075.00",0.00,2529,16867,44156.33611,22.7109618,120,300,2,5,123,1.6449,1,1,1,0,0,0,0,0,0,0,0,GA
service_level,0.98,"175,059,343.47","101,341,416.84","63,189,037.63","10,528,889.00",0.00,2529,16869,44158.33611,28.2641549,120,300,2,5,123,2.0537,1,1,1,265250,804436,0,-539186,0,0,2,2,GA
lt_factor,0.25,"174,794,093.47","100,536,980.84","63,189,037.63","11,068,075.00",0.00,2529,16867,23689.33403,32.1322601,120,300,2,5,123,1.2816,0.25,1,1,0,0,0,0,0,0,0,-20467.00208,GA
lt_factor,0.5,"174,794,093.47","100,536,980.84","63,189,037.63","11,068,075.00",0.00,2529,16867,30511.66806,28.805665,120,300,2,5,123,1.2816,0.5,1,1,0,0,0,0,0,0,0,-13644.66806,GA
lt_factor,0.75,"174,794,093.47","100,536,980.84","63,189,037.63","11,068,075.00",0.00,2529,16867,37334.00208,26.6564462,120,300,2,5,123,1.2816,0.75,1,1,0,0,0,0,0,0,0,-6822.334028,GA
lt_factor,1,"174,794,093.47","100,536,980.84","63,189,037.63","11,068,075.00",0.00,2529,16867,44156.33611,33.7775951,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,GA
lt_factor,1.25,"174,794,093.47","100,536,980.84","63,189,037.63","11,068,075.00",0.00,2529,16867,50978.67014,27.6176638,120,300,2,5,123,1.2816,1.25,1,1,0,0,0,0,0,0,0,6822.334028,GA
lt_factor,1.5,"174,794,093.47","100,536,980.84","63,189,037.63","11,068,075.00",0.00,2529,16867,57801.00417,24.4610436,120,300,2,5,123,1.2816,1.5,1,1,0,0,0,0,0,0,0,13644.66806,GA
lt_factor,1.75,"174,794,093.47","100,536,980.84","63,189,037.63","11,068,075.00",0.00,2529,16867,64623.33819,24.694438,120,300,2,5,123,1.2816,1.75,1,1,0,0,0,0,0,0,0,20467.00208,GA
budget_factor,1,"174,794,093.47","100,536,980.84","63,189,037.63","11,068,075.00",0.00,2529,16867,44156.33611,23.907495,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,GA
budget_factor,1.2,"174,399,017.47","100,920,760.84","63,189,037.63","10,289,219.00",0.00,2529,16942,44231.33611,23.1109831,120,300,2,5,123,1.2816,1,1.2,1,-395076,383780,0,-778856,0,0,75,75,GA
budget_factor,1.5,"174,755,696.47","100,607,438.84","63,189,037.63","10,959,220.00",0.00,2529,16876,44165.33611,22.5164265,120,300,2,5,123,1.2816,1,1.5,1,-38397,70458,0,-108855,0,0,9,9,GA
